Data,Giorno,Ora Inizio,Ora Fine,Nome,Cognome,Email,Note
04/06/2025,Mercoledì,09:00,09:30,,,,
04/06/2025,Mercoledì,09:30,10:00,,,,
04/06/2025,Mercoledì,10:00,10:30,,,,
04/06/2025,Mercoledì,10:30,11:00,,,,
04/06/2025,Mercoledì,11:00,11:30,,,,
04/06/2025,Mercoledì,11:30,12:00,,,,
04/06/2025,Mercoledì,12:00,12:30,,,,
04/06/2025,Mercoledì,12:30,13:00,,,,
04/06/2025,Mercoledì,14:00,14:30,,,,
04/06/2025,Mercoledì,14:30,15:00,,,,
04/06/2025,Mercoledì,15:00,15:30,,,,
04/06/2025,Mercoledì,15:30,16:00,,,,
04/06/2025,Mercoledì,16:00,16:30,,,,
04/06/2025,Mercoledì,16:30,17:00,,,,
04/06/2025,Mercoledì,17:00,17:30,,,,
04/06/2025,Mercoledì,17:30,18:00,,,,
05/06/2025,Giovedì,14:00,14:30,,,,
05/06/2025,Giovedì,14:30,15:00,,,,
05/06/2025,Giovedì,15:00,15:30,,,,
05/06/2025,Giovedì,15:30,16:00,,,,
05/06/2025,Giovedì,16:00,16:30,,,,
05/06/2025,Giovedì,16:30,17:00,,,,
05/06/2025,Giovedì,17:00,17:30,,,,
05/06/2025,Giovedì,17:30,18:00,,,,
06/06/2025,Venerdì,09:00,09:30,,,,
06/06/2025,Venerdì,09:30,10:00,,,,
06/06/2025,Venerdì,10:00,10:30,,,,
06/06/2025,Venerdì,10:30,11:00,,,,
06/06/2025,Venerdì,11:00,11:30,,,,
06/06/2025,Venerdì,11:30,12:00,,,,
06/06/2025,Venerdì,12:00,12:30,,,,
06/06/2025,Venerdì,12:30,13:00,,,,
06/06/2025,Venerdì,14:00,14:30,,,,
06/06/2025,Venerdì,14:30,15:00,,,,
06/06/2025,Venerdì,15:00,15:30,,,,
06/06/2025,Venerdì,15:30,16:00,,,,
06/06/2025,Venerdì,16:00,16:30,,,,
06/06/2025,Venerdì,16:30,17:00,,,,
06/06/2025,Venerdì,17:00,17:30,,,,
06/06/2025,Venerdì,17:30,18:00,,,,
09/06/2025,Lunedì,09:00,09:30,,,,
09/06/2025,Lunedì,09:30,10:00,,,,
09/06/2025,Lunedì,10:00,10:30,,,,
09/06/2025,Lunedì,10:30,11:00,,,,
09/06/2025,Lunedì,11:00,11:30,,,,
09/06/2025,Lunedì,11:30,12:00,,,,
09/06/2025,Lunedì,12:00,12:30,,,,
09/06/2025,Lunedì,12:30,13:00,,,,
09/06/2025,Lunedì,14:00,14:30,,,,
09/06/2025,Lunedì,14:30,15:00,,,,
09/06/2025,Lunedì,15:00,15:30,,,,
